Date,Price,Open,High,Low,Vol.,Change %,,,,,,,
10/04/2024,"12,586.91","12,586.91","12,586.91","12,586.91",,0.92%,,,,,,,
10/03/2024,"12,472.39","12,472.39","12,472.39","12,472.39",,-0.17%,,,,,,,
10/02/2024,"12,493.35","12,493.35","12,493.35","12,493.35",,0.02%,,,,,,,
10/01/2024,"12,490.87","12,490.87","12,490.87","12,490.87",,-0.93%,,,,,,,
09/30/2024,"12,608.07","12,608.07","12,608.07","12,608.07",,0.43%,,,,,,,
09/27/2024,"12,553.78","12,553.78","12,553.78","12,553.78",,-0.12%,,,,,,,
09/26/2024,"12,569.13","12,569.13","12,569.13","12,569.13",,0.41%,,,,,,,
09/25/2024,"12,517.82","12,517.82","12,517.82","12,517.82",,-0.19%,,,,,,,
09/24/2024,"12,541.09","12,541.09","12,541.09","12,541.09",,0.25%,,,,,,,
09/23/2024,"12,509.61","12,509.61","12,509.61","12,509.61",,0.28%,,,,,,,
09/20/2024,"12,474.44","12,474.44","12,474.44","12,474.44",,-0.19%,,,,,,,
09/19/2024,"12,498.59","12,498.59","12,498.59","12,498.59",,1.70%,,,,,,,
09/18/2024,"12,289.26","12,289.26","12,289.26","12,289.26",,-0.29%,,,,,,,
09/17/2024,"12,324.75","12,324.75","12,324.75","12,324.75",,0.03%,,,,,,,
09/16/2024,"12,321.21","12,321.21","12,321.21","12,321.21",,0.15%,,,,,,,
09/13/2024,"12,303.26","12,303.26","12,303.26","12,303.26",,0.56%,,,,,,,
09/12/2024,"12,235.06","12,235.06","12,235.06","12,235.06",,0.75%,,,,,,,
09/11/2024,"12,143.85","12,143.85","12,143.85","12,143.85",,1.07%,,,,,,,
09/10/2024,"12,015.57","12,015.57","12,015.57","12,015.57",,0.45%,,,,,,,
09/09/2024,"11,961.75","11,961.75","11,961.75","11,961.75",,1.17%,,,,,,,
09/06/2024,"11,823.57","11,823.57","11,823.57","11,823.57",,-1.71%,,,,,,,
09/05/2024,"12,029.72","12,029.72","12,029.72","12,029.72",,-0.30%,,,,,,,
09/04/2024,"12,065.69","12,065.69","12,065.69","12,065.69",,-0.16%,,,,,,,
09/03/2024,"12,084.57","12,084.57","12,084.57","12,084.57",,-2.11%,,,,,,,
08/30/2024,"12,344.43","12,344.43","12,344.43","12,344.43",,1.02%,,,,,,,
08/29/2024,"12,219.38","12,219.38","12,219.38","12,219.38",,0.00%,,,,,,,
08/28/2024,"12,219.23","12,219.23","12,219.23","12,219.23",,-0.60%,,,,,,,
08/27/2024,"12,292.64","12,292.64","12,292.64","12,292.64",,0.17%,,,,,,,
08/26/2024,"12,272.08","12,272.08","12,272.08","12,272.08",,-0.31%,,,,,,,
08/23/2024,"12,310.63","12,310.63","12,310.63","12,310.63",,1.15%,,,,,,,
08/22/2024,"12,170.71","12,170.71","12,170.71","12,170.71",,-0.89%,,,,,,,
08/21/2024,"12,280.18","12,280.18","12,280.18","12,280.18",,0.43%,,,,,,,
08/20/2024,"12,227.80","12,227.80","12,227.80","12,227.80",,-0.20%,,,,,,,
08/19/2024,"12,251.74","12,251.74","12,251.74","12,251.74",,0.98%,,,,,,,
08/16/2024,"12,132.48","12,132.48","12,132.48","12,132.48",,0.21%,,,,,,,
08/15/2024,"12,106.68","12,106.68","12,106.68","12,106.68",,1.64%,,,,,,,
08/14/2024,"11,911.02","11,911.02","11,911.02","11,911.02",,0.39%,,,,,,,
08/13/2024,"11,865.29","11,865.29","11,865.29","11,865.29",,1.69%,,,,,,,
08/12/2024,"11,668.58","11,668.58","11,668.58","11,668.58",,0.02%,,,,,,,
08/09/2024,"11,666.50","11,666.50","11,666.50","11,666.50",,0.48%,,,,,,,
08/08/2024,"11,610.84","11,610.84","11,610.84","11,610.84",,2.30%,,,,,,,
08/07/2024,"11,349.24","11,349.24","11,349.24","11,349.24",,-0.77%,,,,,,,
08/06/2024,"11,437.32","11,437.32","11,437.32","11,437.32",,1.04%,,,,,,,
08/05/2024,"11,319.96","11,319.96","11,319.96","11,319.96",,-2.99%,,,,,,,
08/02/2024,"11,669.18","11,669.18","11,669.18","11,669.18",,-1.84%,,,,,,,
08/01/2024,"11,887.54","11,887.54","11,887.54","11,887.54",,-1.37%,,,,,,,
07/31/2024,"12,052.09","12,052.09","12,052.09","12,052.09",,1.59%,,,,,,,
07/30/2024,"11,863.80","11,863.80","11,863.80","11,863.80",,-0.50%,,,,,,,
07/29/2024,"11,922.88","11,922.88","11,922.88","11,922.88",,0.08%,,,,,,,
07/26/2024,"11,913.04","11,913.04","11,913.04","11,913.04",,1.12%,,,,,,,
07/25/2024,"11,781.57","11,781.57","11,781.57","11,781.57",,-0.51%,,,,,,,
07/24/2024,"11,842.36","11,842.36","11,842.36","11,842.36",,-2.31%,,,,,,,
07/23/2024,"12,122.83","12,122.83","12,122.83","12,122.83",,-0.16%,,,,,,,
07/22/2024,"12,141.75","12,141.75","12,141.75","12,141.75",,1.08%,,,,,,,
07/19/2024,"12,011.61","12,011.61","12,011.61","12,011.61",,-0.71%,,,,,,,
07/18/2024,"12,097.25","12,097.25","12,097.25","12,097.25",,-0.78%,,,,,,,
07/17/2024,"12,192.49","12,192.49","12,192.49","12,192.49",,-1.39%,,,,,,,
07/16/2024,"12,364.55","12,364.55","12,364.55","12,364.55",,0.64%,,,,,,,
07/15/2024,"12,286.05","12,286.05","12,286.05","12,286.05",,0.29%,,,,,,,
07/12/2024,"12,250.19","12,250.19","12,250.19","12,250.19",,0.55%,,,,,,,
07/11/2024,"12,182.97","12,182.97","12,182.97","12,182.97",,-0.87%,,,,,,,
07/10/2024,"12,290.21","12,290.21","12,290.21","12,290.21",,1.03%,,,,,,,
07/09/2024,"12,164.57","12,164.57","12,164.57","12,164.57",,0.08%,,,,,,,
07/08/2024,"12,155.27","12,155.27","12,155.27","12,155.27",,0.10%,,,,,,,
